Target_Name,COS_Observations,COS_ASN_ID,COS_QUALCOM1,COS_QUALCOM2,COS_QUALCOM3,STIS_Median_FluxRatio,STIS_Observations,FOS_Median_FluxRatio,FOS_Observations,HRS1_Median_FluxRatio,HRS1_Observations,HRS2_Median_FluxRatio,HRS2_Observations,IUE_Median_FluxRatio,IUE_Observations,FUSE_Median_FluxRatio,FUSE_Observations
G191B2B,318,LBBDA1010;LBBDA1020;LBBDA1030;LBBDA1040;LBBDA1050;LBBDA1060;LBBDA1070;LBBDA2010;LBBDA2020;LBBDA2030;LBBDA2040;LBBDA2050;LBBDA2060;LBBDA2070;LBBDA3010;LBBDA3020;LBBDA3030;LBBDA3040;LBBDA3050;LBBDA3060;LBBDA3070;LBBDA4010;LBBDA4020;LBBDA4030;LBBDA4040;LBBDA4050;LBBDA4060;LBBDA4070;LBBDA5010;LBBDA5020;LBBDA5030;LBBDA5040;LBBDA5050;LBBDA5060;LBBDA5070;LBBDAB010;LBBDAB020;LBBDAB030;LBBDAB040;LBBDAC010;LBBDAC020;LBBDAD010;LBBDAD020;LBBDAD030;LBBDAD040;LBBDAE010;LBBDAE020;LBBDAE030;LBBDAE040;LBBDAF010;LBBDAF020;LBBDAF030;LBBDAF040;LBBDAG010;LBBDAG020;LBBDAG030;LBBDAG040;LBBDAH010;LBBDAH020;LBBDAH030;LBBDAH040;LBBDAJ010;LBBDAJ020;LBBDAJ030;LBBDAJ040;LBBDAK010;LBBDAK020;LBBDAK030;LBBDAK040;LBBDNC010;LBBDNC020;LBBDNC030;LBBDNC040;LBNGM1010;LBNGM1020;LBNGM1030;LBNGM1040;LBNGM1050;LBNGM1060;LBNGM1070;LBNGM2010;LBNGM2020;LBNGM2030;LBNGM2040;LBNGM2050;LBNGM2060;LBNGM2070;LBNGM3010;LBNGM3020;LBNGM3030;LBNGM3040;LBNGM3050;LBNGM3060;LBNGM3070;LBUJM1010;LBUJM1020;LBUJM1030;LBUJM1040;LBUJM1050;LBUJM2010;LBUJM2020;LBUJM2030;LBUJM2040;LBUJM2050;LBUJM3010;LBUJM3020;LBUJM3030;LBUJM3040;LBUJM3050;LBUJM4010;LBUJM4020;LBUJM4030;LBUJM4040;LBUJM4050;LC3ZM1010;LC3ZM1020;LC3ZM1030;LC3ZM1040;LC3ZM1050;LC3ZM3010;LC3ZM3020;LC3ZM3030;LC3ZM3040;LC3ZM3050;LC3ZM4010;LC3ZM4020;LC3ZM4030;LC3ZM4040;LC3ZM4050;LCFEM1010;LCFEM1020;LCFEM1030;LCFEM1040;LCFEM1050;LCFEM2010;LCFEM2020;LCFEM2030;LCFEM2040;LCFEM2050;LCFEM3010;LCFEM3020;LCFEM3030;LCFEM3040;LCFEM3050;LCRHM1010;LCRHM1020;LCRHM1030;LCRHM1040;LCRHM1050;LCRHM2010;LCRHM2020;LCRHM2030;LCRHM2040;LCRHM2050;LCRHM3010;LCRHM3020;LCRHM3030;LCRHM3040;LCRHM3050;LCWT02010;LD20M1010;LD20M1020;LD20M1030;LD20M1040;LD20M1050;LD20M2010;LD20M2020;LD20M2030;LD20M2040;LD20M2050;LDCZM1010;LDCZM1020;LDCZM1030;LDCZM1040;LDCZM1050;LDCZM1060;LDCZM1070;LDCZM1080;LDCZM1090;LDCZM2010;LDCZM2020;LDCZM2030;LDCZM2040;LDCZM2050;LDCZM2060;LDCZM2070;LDCZM2080;LDCZM2090;LDQKM1010;LDQKM1020;LDQKM1030;LDQKM1040;LDQKM1050;LDQKM1060;LDQKM1070;LDQKM1080;LDQKM1090;LDQKM2010;LDQKM2020;LDQKM2030;LDQKM2040;LDQKM2050;LDQKM2060;LDQKM2070;LDQKM2080;LDQKM2090;LDUIM1010;LDUIM1020;LDUIM1030;LDUIM1040;LDUIM1050;LDUIM1060;LDUIM2010;LDUIM2020;LDUIM2030;LDUIM2040;LDUIM2050;LDUIM2060;LE0SM1010;LE0SM1020;LE0SM1030;LE0SM1040;LE0SM1050;LE0SM1060;LE0SM2010;LE0SM2020;LE0SM2030;LE0SM2040;LE0SM2050;LE0SM2060;LEEJM1010;LEEJM1020;LEEJM1030;LEEJM1040;LEEJM1050;LEEJM1060;LEEJM2010;LEEJM2020;LEEJM2030;LEEJM2040;LEEJM2050;LEEJM2060;LEKCM1010;LEKCM1020;LEKCM1030;LEKCM1040;LEKCM1050;LEKCM1060;LEKCM2010;LEKCM2020;LEKCM2030;LEKCM2040;LEKCM2050;LEKCM2060;LEV0M1010;LEV0M1020;LEV0M1030;LEV0M1040;LEV0M1050;LEV0M1060;LEV0M2010;LEV0M2020;LEV0M2030;LEV0M2040;LEV0M2050;LEV0M2060;LF4SM1010;LF4SM1020;LF4SM1030;LF4SM1040;LF4SM1050;LF4SM1060;LF4SM2010;LF4SM2020;LF4SM2030;LF4SM2040;LF4SM2050;LF4SM2060;LFIAM1010;LFIAM1020;LFIAM1030;LFIAM1040;LFIAM1050;LFIAM1060;LFIAM2010;LFIAM2020;LFIAM2030;LFIAM2040;LFIAM2050;LFIAM2060;LFR101010;LFR101020;LFR102010;LFR102020;LFR103010;LFR103020,,,,-0.07994257315348594,214,,0,,0,,0,-0.1488422383004828,27,,0
BI184,8,LDA920010;LDA920020,,,,0.14972764092145818,4,,0,,0,,0,,0,0.02239839735801268,1
G29-38,1,LBHK05010,,,,,0,-0.07761930413184837,14,,0,,0,0.6464504684431507,1,,0
G64-12,4,LBOR04010,,,,-0.25236832366960726,8,,0,,0,,0,,0,,0
GD153,10,LBBD10010;LBBD10020;LBBD10030;LBBD11010;LBBD11020;LBBD11030;LBBD11040;LBBD9T010;LBBD9T020;LBBD9T030,,,,-0.5825023430006754,185,,0,,0,,0,,0,,3
GD50,5,LBEJ01010,,,,46.46465435780051,2,,0,,0,,0,,0,-0.02164951612886405,4
GD71,439,LA9T24070;LAAD02010;LAAD02020;LAAD02030;LAAD02040;LAAD02050;LAAD02060;LAAD02070;LAAD02080;LAAD02090;LAAD020A0;LAAD020B0;LAAD020C0;LAAD020D0;LAAD020E0;LAAD020F0;LAAD020G0;LAAD020H0;LAAD020I0;LAAD020J0;LAAD020K0;LAAD020L0;LAAD020M0;LAAD020N0;LAAD020O0;LAAD020P0;LAAD020Q0;LAAD020R0;LAAD020S0;LAAD020T0;LAAD020U0;LAAD020V0;LAAD020W0;LAAD020X0;LAAD03010;LAAD03020;LAAD03030;LAAD03040;LAAD03050;LAAD03060;LAAD03070;LAAD03080;LAAD03090;LAAD030A0;LAAD030B0;LAAD030C0;LAAD030D0;LAAD030E0;LAAD030F0;LAAD030G0;LAAD030H0;LBBD2T010;LBBD2T020;LBBD2T030;LBUI40010;LBUI40020;LBUI40030;LBUI40040;LBUI41010;LBUI41020;LBUI41030;LBUI41040;LBXM03010;LBXM03020;LBXM03030;LBXM03040;LBXM03050;LBXM04010;LBXM04020;LC3Y01010;LC3Y01020;LC3Y01030;LC3Y02010;LC3Y02020;LC3Y02030;LC3Y03010;LC3Y03020;LC3Y03030;LC3Y04010;LC3Y04020;LC3Y04030;LC3Y05010;LC3Y05020;LC3Y05030;LC3Y06010;LC3Y06020;LC3Y06030;LC3Y07010;LC3Y07020;LC3Y07030;LC3Y08010;LC3Y08020;LC3Y08030;LC3Y09010;LC3Y09020;LC3Y09030;LCE821010;LCE821020;LCE821030;LCE823010;LCE823020;LCE823030;LCE825010;LCE825020;LCE825030;LCE831010;LCE831020;LCE831030;LCE899010;LCE899020;LCE899030;LCPB05010;LCPB05020;LCPB05030;LCPB05040;LCPB05050;LCQZ21010;LCQZ21020;LCQZ21030;LCQZ23010;LCQZ23020;LCQZ23030;LCQZ24010;LCQZ24020;LCQZ24030;LCQZ26010;LCQZ26020;LCQZ26030;LCQZ30010;LCQZ30020;LCQZ30030;LCQZ32010;LCQZ32020;LCQZ32030;LD0Y13010;LD0Y13020;LD0Y13030;LD0Y14010;LD0Y14020;LD0Y14030;LD0Y15010;LD0Y15020;LD0Y15030;LD0Y16010;LD0Y16020;LD0Y16030;LD0Y17010;LD0Y17020;LD0Y17030;LDCV03010;LDCV03020;LDCV03030;LDCV06010;LDCV06020;LDCV06030;LDCV09010;LDCV09020;LDCV09030;LDCV18010;LDCV18020;LDCV18030;LDCV21010;LDCV21020;LDCV21030;LDCV23010;LDCV23020;LDEL05010;LDEL05020;LDEL05030;LDEL05040;LDEL05050;LDQJ02010;LDQJ02020;LDQJ02030;LDQJ04010;LDQJ04020;LDQJ04030;LDQJ06010;LDQJ06020;LDQJ06030;LDQJ09010;LDQJ09020;LDQJ09030;LDQJ11010;LDQJ11020;LDQJ11030;LDQJ13010;LDQJ13020;LDV002010;LDV002020;LDV002030;LDV004010;LDV004020;LDV004030;LDV004040;LDV006010;LDV006020;LDV006030;LDV006040;LDV009010;LDV009020;LDV009030;LDV009040;LDV011010;LDV011020;LDV011030;LDV011040;LE5G02010;LE5G02020;LE5G02030;LE5G02040;LE5G06010;LE5G06020;LE5G06030;LE5G06040;LE5G09010;LE5G09020;LE5G09030;LE5G09040;LE5G11010;LE5G11020;LE5G11030;LE5G11040;LE5G54010;LE5G54020;LE5G54030;LE5G54040;LEFE02010;LEFE02020;LEFE02030;LEFE02040;LEFE04010;LEFE04020;LEFE04030;LEFE04040;LEFE06010;LEFE06020;LEFE06030;LEFE06040;LEFE09010;LEFE09020;LEFE09030;LEFE09040;LEFE11010;LEFE11020;LEFE11030;LEFE11040;LER102010;LER102020;LER102030;LER102040;LER102050;LER104010;LER104020;LER104030;LER104040;LER104050;LER106040;LER106050;LER106060;LER106070;LER106080;LER106090;LER109010;LER109020;LER109030;LER109040;LER109050;LER111010;LER111020;LER111030;LER111040;LER111050;LER156010;LER156020;LER156030;LER156040;LER156050;LER156060;LER156070;LER156080;LER156090;LETB07010;LETB08010;LETB08020;LETB09010;LETB09020;LETB57010;LETB57020;LF2002010;LF2002020;LF2002030;LF2002040;LF2002050;LF2002060;LF2002070;LF2004010;LF2004020;LF2004040;LF2004050;LF2004060;LF2004070;LF2006030;LF2006040;LF2006050;LF2006060;LF2006070;LF2009010;LF2009020;LF2009030;LF2009040;LF2009050;LF2009060;LF2009070;LF2011010;LF2011020;LF2011030;LF2011040;LF2011050;LF2011060;LF2011070;LF2054010;LF2109010;LF2109020;LF2109030;LF2109040;LF2109050;LF2109060;LF2109070;LF4G02010;LF4G02020;LF4G02040;LF4G02050;LF4G02060;LF4G02070;LF4G04010;LF4G04020;LF4G04030;LF4G04040;LF4G04050;LF4G04060;LF4G04070;LF4G06010;LF4G06020;LF4H02010;LF4H02020;LF4H04010;LF4H04020;LF4H04030;LF4H04040;LF4H04050;LF4H04060;LF4H04070;LF4H06010;LF4H06020;LF4H06030;LF4H06040;LF4H06050;LF4H06060;LF4H06070;LF4H9C010;LF4H9C020;LF4H9C030;LF4H9C040,,,,-0.12304790495780782,134,,0,,0,,0,,0,-0.6900989969238047,3
GJ1132,5,LDLM01010;LDLM01020;LDLM01030,,,,-0.8151627037585494,3,,0,,0,,0,,0,,0
GJ1214,11,LBPI09010;LBPI09020;LCK132010;LCK132020;LCK132030,,,,-0.13905172158184395,7,,0,,0,,0,,0,,0
GJ163,5,LDLM13010;LDLM13020;LDLM13030,,,,-0.20830022049185096,4,,0,,0,,0,,0,,0
