Target_Name,Median_COS_SN,COS_Files_Verified,COS_Files_Total,Median_STIS_SN,STIS_Files_Verified,STIS_Files_Total,Median_FOS_SN,FOS_Files_Verified,FOS_Files_Total,Median_HRS1_SN,HRS1_Files_Verified,HRS1_Files_Total,Median_HRS2_SN,HRS2_Files_Verified,HRS2_Files_Total,Median_FUSE_SN,FUSE_Files_Verified,FUSE_Files_Total,Median_IUE_SN,IUE_Files_Verified,IUE_Files_Total
SZ129,0.45622360706329346,3,3,15.900660037994385,1,1,,0,0,,0,0,,0,0,,0,0,,0,0
SZ130,0.4350067973136902,9,9,2.75799822807312,2,2,,0,0,,0,0,,0,0,,0,0,,0,0
SZ19,0.41188913583755493,4,4,7.817919015884399,1,11,,0,0,,0,0,,0,0,,0,0,1.4352418184280396,2,2
SZ66,0.4177606403827667,4,4,1.465933382511139,2,2,,0,0,,0,0,,0,0,,0,0,,0,0
SZ69,0.4270011931657791,5,25,1.6858464479446411,2,4,,0,0,,0,0,,0,0,,0,0,,0,0
SZ71,0.42309845983982086,3,3,3.957386612892151,1,1,,0,0,,0,0,,0,0,,0,0,,0,0
SZ72,0.43098148703575134,9,9,11.036983489990234,1,1,,0,0,,0,0,,0,0,,0,0,,0,0
SZ76,0.42777208983898163,7,13,2.2176618576049805,1,2,,0,0,,0,0,,0,0,,0,0,,0,0
SZ82,1.021214783191681,8,128,17.272186279296875,1,37,,0,0,,0,0,,0,12,,0,0,,0,0
SZ97,0.4241267144680023,3,63,3.3442044258117676,1,56,,0,0,,0,0,,0,0,,0,0,,0,0
SZ98,0.4275825470685959,10,63,7.13927149772644,1,56,,0,0,,0,0,,0,0,,0,0,,0,0
SZ99,0.4219324439764023,4,63,2.89591646194458,1,56,,0,0,,0,0,,0,0,,0,0,,0,0
TOI-1468,0.4102606773376465,9,9,0.8995499610900879,2,2,,0,0,,0,0,,0,0,,0,0,,0,0
TOI-561,0.44933071732521057,4,4,1.0225495100021362,1,3,,0,0,,0,0,,0,0,,0,0,,0,0
TONS210,5.075499057769775,12,12,1.6941601634025574,5,5,,0,0,,0,0,,0,0,3.8090888261795044,2,2,,0,0
TWA13A,0.4219430387020111,7,14,0.8153302669525146,2,3,,0,0,,0,0,,0,0,,0,0,,0,0
UM425,0.4535526633262634,16,20,,0,0,5.7295872506631685e-08,2,2,,0,0,,0,0,,0,0,6.179258346557617,2,2
V4046SGR,2.1744191646575928,8,8,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0
VIIZW403,0.9579570293426514,2,2,1.2897518873214722,7,7,,0,0,,0,0,,0,0,,0,0,,0,0
WASP-12,2.278919219970703,35,35,6.041630744934082,20,20,,0,0,,0,0,,0,0,,0,0,,0,0
WASP-18,0.7449542284011841,8,8,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0
WASP-29,0.41018255054950714,15,15,4.512869834899902,29,29,,0,0,,0,0,,0,0,,0,0,,0,0
WASP-43,0.4512427747249603,4,4,1.9660345315933228,14,18,,0,0,,0,0,,0,0,,0,0,,0,0
WASP-69,0.41638532280921936,15,15,1.4649499654769897,42,42,,0,0,,0,0,,0,0,,0,0,,0,0
WASP-80,0.40596088767051697,16,16,1.5801984071731567,29,29,,0,0,,0,0,,0,0,,0,0,,0,0
WD0308-565,6.434588670730591,1303,1330,83.95975875854492,4,10,,0,0,,0,0,,0,0,,0,0,,0,0
WD0320-539,15.931158065795898,26,37,110.0336799621582,7,7,,0,0,,0,0,,0,0,4.323060989379883,2,2,,0,0
WD0421+162,11.244147300720215,9,9,16.524230003356934,2,2,,0,3,,0,0,,0,0,,0,0,,0,0
WD0437+138,5.484094619750977,12,12,11.112492561340332,2,2,,0,0,,0,0,,0,0,,0,0,,0,0
WD0710+741,7.646850109100342,6,6,38.39727783203125,1,1,,0,0,,0,0,,0,0,,0,0,,0,0
WD0947+857,9.822720050811768,204,218,85.06220245361328,8,8,,0,0,,0,0,,0,0,5.241106033325195,2,2,,0,0
WD1052+273,11.857977867126465,2,2,114.0322494506836,2,2,,0,0,,0,0,,0,0,,0,0,,0,0
WD1057+719,9.584894180297852,304,334,89.03532409667969,9,9,,0,0,,0,0,1.3264271243836236e-06,4,9,18.781890869140625,1,1,,0,0
WD1105-048,2.543294906616211,2,2,84.60377502441406,2,2,,0,0,,0,0,,0,0,,0,0,,0,0
WD1202-232,1.8491910099983215,4,4,34.910831451416016,3,3,,0,0,,0,0,,0,0,,0,0,,0,0
WD1327-083,11.056551933288574,2,10,100.76104354858398,2,2,,0,0,,0,0,,0,0,,0,0,,0,0
WD1337+705,1.5535130500793457,8,50,8.855745792388916,3,282,,0,208,,0,0,,0,0,,0,0,,0,0
WD1446+286,10.248323440551758,2,2,96.62220001220703,2,2,,0,0,,0,0,,0,0,,0,0,,0,0
WD1544-377,3.2494707107543945,4,4,27.82585620880127,2,2,,0,0,,0,0,,0,0,,0,0,,0,0
WD1654+160,2.163588523864746,16,16,,0,0,9.797530123840656e-08,2,2,1.4876860711218872e-07,2,3,,0,0,,0,0,,0,0
WD1657+343,2.5187184810638428,12,141,57.399070739746094,15,15,,0,0,,0,0,,0,0,,0,0,,0,0
WD1713+695,10.24838924407959,2,2,82.72089385986328,2,2,,0,0,,0,0,,0,0,2.897116541862488,2,2,,0,0
WD1743-521,1.4935678243637085,4,4,27.15889549255371,1,1,,0,0,,0,0,,0,0,,0,0,,0,0
WD1911+536,11.226442813873291,2,2,97.08722686767578,2,2,,0,0,,0,0,,0,0,,0,0,,0,0
WD1917-077,3.241443157196045,8,16,9.770700454711914,2,2,,0,0,,0,0,,0,0,,0,0,,0,0
WD1919+145,10.373549461364746,2,2,81.90099334716797,2,2,,0,0,,0,0,,0,0,,0,0,,0,0
WD2039-682,10.641674995422363,2,2,92.30086517333984,2,2,,0,0,,0,0,,0,0,4.443678617477417,1,1,,0,0
WD2051-208,6.848316669464111,2,2,70.88835906982422,2,2,,0,0,,0,0,,0,0,,0,0,,0,0
WD2126+734,10.753605365753174,2,2,33.457387924194336,10,10,,0,0,,0,0,,0,0,2.529098153114319,2,2,,0,0
WD2341+322,5.17358660697937,2,2,60.39999771118164,2,2,,0,0,,0,0,,0,0,,0,0,,0,0
ZTFJ1901+1458,13.00741958618164,4,4,69.7293815612793,6,6,,0,0,,0,0,,0,0,,0,0,,0,0
